Channel,Frequency,Power
AF3,0.01079895385134565,121466414.7431063
AF3,0.0215979077026913,88417720.54859424
AF3,0.032396861554036954,680778992.2878438
AF3,0.0431958154053826,498604266.4230487
AF3,0.05399476925672825,1682618685.372054
AF3,0.06479372310807391,285377883.3901123
AF3,0.07559267695941956,968634058.2107184
AF3,0.0863916308107652,115991238.31442848
AF3,0.09719058466211085,31208827.877550304
AF3,0.1079895385134565,1030467129.2110391
AF3,0.11878849236480216,261381440.99366465
AF3,0.12958744621614782,567154358.4005953
AF3,0.14038640006749345,980379634.7967502
AF3,0.1511853539188391,292112189.36805016
AF3,0.16198430777018474,101005392.62090082
AF3,0.1727832616215304,881164277.736751
AF3,0.18358221547287606,67279255.64052819
AF3,0.1943811693242217,111106709.6814462
AF3,0.20518012317556736,157596933.9166045
AF3,0.215979077026913,640997726.6144643
AF3,0.22677803087825865,41564605.60735105
AF3,0.2375769847296043,47996216.360292055
AF3,0.24837593858094995,200244131.29927823
AF3,0.25917489243229563,6738980.606827907
AF3,0.26997384628364124,382165659.6336264
AF3,0.2807728001349869,176540760.9689463
AF3,0.29157175398633256,213442234.1851481
AF3,0.3023707078376782,170469073.08445612
AF3,0.3131696616890239,54008829.49809954
AF3,0.3239686155403695,440185465.16073996
AF3,0.33476756939171515,434207467.4742569
AF3,0.3455665232430608,52755952.32269083
AF3,0.35636547709440647,266538421.01178113
AF3,0.36716443094575213,203094845.06861982
AF3,0.37796338479709773,114946469.22943346
AF3,0.3887623386484434,201732266.80590105
AF3,0.39956129249978906,119400999.56940089
AF3,0.4103602463511347,212752216.99276066
AF3,0.4211592002024804,292666376.4462168
AF3,0.431958154053826,59733736.476757765
AF3,0.44275710790517164,12588938.969062446
AF3,0.4535560617565173,91603557.42309046
AF3,0.46435501560786296,17252253.000381816
AF3,0.4751539694592086,36597138.13955085
AF3,0.4859529233105543,183085325.36103827
AF3,0.4967518771618999,61626104.67040705
AF3,0.5075508310132456,189232885.87517843
AF3,0.5183497848645913,208271367.13833308
